,start_date,end_date,updated_date,value
2019-06-19 22:00:00+00:00,2019-06-19 22:00:00+00:00,2019-06-20 22:00:00+00:00,2019-06-19 08:20:00+00:00,BLUE
2019-06-18 22:00:00+00:00,2019-06-18 22:00:00+00:00,2019-06-19 22:00:00+00:00,2019-06-18 08:20:00+00:00,BLUE
